year,id,committee,consent1,disposition,top10
2017,1,A,F,Passed,F
2017,2,A,T,Passed,T
2017,3,A,T,Passed,F
2017,4,A,F,Passed,F
2017,5,A,F,Passed,F
2017,6,A,T,Passed,F
2017,7,A,T,Passed,F
2017,8,A,T,Passed,F
2017,9,A,T,Passed,F
2017,10,A,T,Passed,F
2017,11,A,T,Passed,F
2017,12,A,T,Passed,F
2017,13,A,F,Passed,T
2017,14,A,T,Passed,F
2017,15,A,F,Passed,F
2017,16,A,F,Passed,T
2017,17,A,F,Passed,F
2017,18,A,F,Passed,F
2017,19,A,T,Passed,F
2017,20,A,T,Passed,F
2017,21,A,F,Passed,T
2017,22,A,F,Passed,F
2017,23,A,F,Passed,F
2017,24,A,T,Passed,F
2017,25,A,T,Passed,F
2017,26,A,T,Passed,F
2017,27,A,T,Passed,F
2017,28,A,F,Passed,F
2017,29,A,F,Passed,F
2017,30,A,F,Passed,T
2017,31,B,F,Passed,F
2017,32,B,T,Passed,F
2017,33,B,F,Passed,F
2017,34,B,F,Defeated,F
2017,35,B,T,Passed,F
2017,36,B,T,Passed,F
2017,37,B,F,Defeated,F
2017,38,B,F,Passed,F
2017,39,B,F,Passed,F
2017,40,B,F,Passed,F
2017,41,B,F,Passed,F
2017,42,B,F,Passed,T
2017,43,B,F,Passed,F
2017,44,B,F,Passed,F
2017,45,B,F,Passed,F
2017,46,B,F,Passed,F
2017,47,B,F,Passed,F
2017,48,B,F,Passed,F
2017,49,B,T,Passed,F
2017,50,B,T,Passed,F
2017,51,B,F,Passed,F
2017,52,B,F,Passed,F
2017,53,B,F,Passed,F
2017,54,B,F,Passed,F
2017,55,B,F,Passed,F
2017,56,B,T,Passed,F
2017,57,B,F,Passed,T
2017,58,C,F,Passed,F
2017,59,C,F,Passed,F
2017,60,C,T,Passed,F
2017,61,C,F,Passed,F
2017,62,C,F,Passed,F
2017,63,C,F,Passed,F
2017,64,C,F,Passed,T
2017,65,C,F,Passed,F
2017,66,C,F,Passed,F
2017,67,C,F,Defeated,F
2017,68,C,F,Passed,F
2017,69,C,T,Passed,F
2017,LR2,A,NA,Passed,F
2017,LR4,A,NA,Passed,T
2017,LR5,A,NA,Passed,T
2016,1,A,T,Passed,F
2016,2,A,F,Passed,F
2016,3,A,F,Passed,F
