pokemon,CP_pre,HP_pre,kg_pre,CP_post,HP_post,kg_post
Ratata,333,NA,NA,953,NA,NA
Ratata,311,NA,NA,863,NA,NA
Ratata,303,NA,NA,860,NA,NA
Pidgey,270,NA,NA,533,NA,NA
Pidgey,267,NA,NA,515,NA,NA
Pidgey,259,NA,NA,526,NA,NA
Pidgey,212,NA,NA,413,NA,NA
Pidgey,209,43,2.2,403,66,36.7
Pidgey,203,41,1.18,395,64,19.75
Pidgey,201,43,1.7,392,66,28.38
Pidgey,198,41,2.26,396,65,37.72
Pidgey,191,NA,NA,370,NA,NA
Pidgey,163,42,1.08,322,63,18.07
Pidgey,154,35,1.35,295,55,22.47
Pidgey,152,35,2.5,293,54,41.63
Weedle,211,56,2.94,206,62,9.19
Poliwag,382,50,15.85,756,81,25.57
Eevee,619,81,6.08,1920,94,23.37
