Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
3852882,"Your Hate Mail Will Be Graded: A Decade of Whatever, 1998-2008",John Scalzi,"Scalzi, John",,"=""1596062118""","=""9781596062115""",4,3.67,Subterranean,Hardcover,368,2008,2008,2017/06/17,2017/06/17,,,read,,,,1,,,0,,,,,
31920777,American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road,Nick Bilton,"Bilton, Nick",,"=""1591848148""","=""9781591848141""",0,4.36,Portfolio,Hardcover,352,2017,2017,,2017/06/16,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
30653783,"Smart Baseball: The Story Behind the Old Stats That Are Ruining the Game, the New Ones That Are Running It, and the Right Way to Think About Baseball",Keith Law,"Law, Keith",Tbd,"=""0062490222""","=""9780062490223""",0,4.10,Harper Collins,Hardcover,304,2017,2017,,2017/06/10,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
840,The Design of Everyday Things,Donald A. Norman,"Norman, Donald A.",,"=""0465067107""","=""9780465067107""",0,4.18,Basic Books,Paperback,240,2002,1988,,2017/06/10,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
33155772,"Ultimate Glory: Frisbee, Obsession, and My Wild Youth",David Gessner,"Gessner, David",,"=""073521056X""","=""9780735210561""",0,4.33,Riverhead Books,Paperback,352,2017,2017,,2017/06/10,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
20980944,"Lowriders in Space (Lowriders in Space, #1)",Cathy Camper,"Camper, Cathy",Raúl Gonzalez III,"=""1452128693""","=""9781452128696""",4,3.68,Chronicle Books,Paperback,112,2014,2014,,2017/05/23,,,read,,,,1,,,0,,,,,
26031154,Lowriders to the Center of the Earth (Book 2),Cathy Camper,"Camper, Cathy",Raúl Gonzalez III,"=""1452123438""","=""9781452123431""",3,3.91,Chronicle Books,Hardcover,128,2016,2016,2017/05/23,2017/05/23,,,read,,,,0,,,0,,,,,
31950871,Men Without Women,Haruki Murakami,"Murakami, Haruki","Philip Gabriel, Ted Goossen","=""""","=""""",4,3.76,Knopf,Kindle Edition,240,2017,2014,2017/06/10,2017/05/17,,,read,,,,1,,,0,,,,,
19183469,The Science of Making Friends: Helping Socially Challenged Teens and Young Adults,Elizabeth Laugeson,"Laugeson, Elizabeth",John Elder Robison,"=""""","=""""",5,3.97,Jossey-Bass,Kindle Edition,385,2013,2013,2017/05/28,2017/05/16,,,read,,,,0,,,0,,,,,
13153693,Ghettoside: A True Story of Murder in America,Jill Leovy,"Leovy, Jill",,"=""0385529988""","=""9780385529983""",4,4.12,Spiegel & Grau,Hardcover,326,2015,2015,2017/03/20,2017/03/20,,,read,,,,2,,,0,,,,,
17980416,"Dust (Silo, #3)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",3,4.26,Broad Reach Publishing,Kindle Edition,466,2013,2013,2017/03/20,2017/03/19,,,read,,,,2,,,0,,,,,
28114503,The Best American Comics 2016,Roz Chast,"Chast, Roz",Bill Kartalopoulos,"=""0544750357""","=""9780544750357""",3,3.73,Houghton Mifflin,Hardcover,352,2016,2016,2017/03/20,2017/03/01,,,read,,,,1,,,0,,,,,
17306293,"Shift (Silo, #2)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",4,4.12,Broad Reach Publishing,Kindle Edition,520,2013,2013,2017/03/14,2017/02/28,,,read,,,,1,,,0,,,,,
