Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
34683022,"Next to You (Love with Altitude, #1)",Daisy Prescott,"Prescott, Daisy",,"=""""","=""""",0,3.89,,ebook,205,2016,2016,,2017/06/24,currently-reading,currently-reading (#1),currently-reading,,,,0,,,0,,,,,
34371407,"Crazy Over You (Love with Altitude, #2)",Daisy Prescott,"Prescott, Daisy",,"=""""","=""""",5,4.02,,,,2017,2017,2017/06/24,2017/06/24,,,read,,,,1,,,0,,,,,
22443261,"The Rithmatist (The Rithmatist, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.24,Tor UK,Kindle Edition,353,2014,2013,2017/06/24,2017/06/18,,,read,,,,1,,,0,,,,,
25485971,"Every Night Without You: Book 2, Caine & Addison (Unfinished Love, #2)",Violet Duke,"Duke, Violet",,"=""""","=""""",3,4.16,,,,,,,2017/06/18,,,read,,,,1,,,0,,,,,
25485960,"Before That Night: Book 1, Caine & Addison (Unfinished Love, #1)",Violet Duke,"Duke, Violet",,"=""""","=""""",3,4.15,,,200,2016,,,2017/06/18,,,read,,,,1,,,0,,,,,
22833921,The Mermaid's Sister,Carrie Anne Noble,"Noble, Carrie Anne",,"=""1477820884""","=""9781477820889""",2,3.64,Skyscape,Paperback,236,2015,2015,2017/06/20,2017/06/16,,,read,,,,1,,,0,,,,,
34273458,"The Cad and the Co-Ed (Rugby, #3)",L.H. Cosway,"Cosway, L.H.",Penny Reid,"=""""","=""""",4,4.00,,Kindle Edition,337,2017,2017,2017/06/16,2017/06/14,,,read,,,,1,,,0,,,,,
24524971,Followed by Frost,Charlie N. Holmberg,"Holmberg, Charlie N.",,"=""""","=""""",5,4.21,47North,Kindle Edition,256,2015,2015,2017/06/14,2017/06/11,,,read,,,,1,,,0,,,,,
34341699,"Wanderlust (Modern Love Story, #3)",Daisy Prescott,"Prescott, Daisy",,"=""""","=""""",5,4.18,,Kindle Edition,281,2017,2014,2017/06/11,2017/06/09,,,read,,,,1,,,0,,,,,
32620341,"Buns (Hudson Valley, #3)",Alice Clayton,"Clayton, Alice",,"=""150111817X""","=""9781501118173""",5,4.18,Gallery Books,Paperback,320,2017,2017,2017/06/09,2017/06/06,,,read,,,,1,,,0,,,,,
28418764,"Magic Bitter, Magic Sweet",Charlie N. Holmberg,"Holmberg, Charlie N.",,"=""""","=""""",2,3.62,47North,Kindle Edition,306,2016,2016,,2017/06/03,,,read,,,,1,,,0,,,,,
16115612,And the Mountains Echoed,Khaled Hosseini,"Hosseini, Khaled",,"=""159463176X""","=""9781594631764""",5,4.03,Riverhead Books,Hardcover,404,2013,2012,,2017/05/27,,,read,,,,1,,,0,,,,,
34454739,"Dating-ish (Knitting in the City, #6)",Penny Reid,"Reid, Penny",,"=""""","=""""",5,4.44,,Kindle Edition,304,2017,2017,2017/05/27,2017/05/26,,,read,,,,1,,,0,,,,,
25056208,"Nuts (Hudson Valley, #1)",Alice Clayton,"Clayton, Alice",,"=""1501118137""","=""9781501118135""",5,4.05,Gallery Books,Paperback,308,2015,2015,,2017/05/21,,,read,,,,1,,,0,,,,,
28174850,"Take for Granted (Modern Love Story, #3.5; Modern Love Story Shorts, #2)",Daisy Prescott,"Prescott, Daisy",,"=""""","=""""",4,3.87,,Kindle Edition,38,2015,2015,,2017/05/13,,,read,,,,1,,,0,,,,,
27276297,Roman Crazy,Alice Clayton,"Clayton, Alice",Nina Bocci,"=""1501117637""","=""9781501117633""",5,3.86,Gallery Books,Paperback,326,2016,2016,,2017/05/13,,,read,,,,1,,,0,,,,,
29235065,"We Were Here (Modern Love Story, #1)",Daisy Prescott,"Prescott, Daisy",,"=""""","=""""",5,4.28,Daisy Prescott,Kindle Edition,362,2016,2016,2017/05/11,2017/05/06,,,read,,,,1,,,0,,,,,
37415,Their Eyes Were Watching God,Zora Neale Hurston,"Hurston, Zora Neale",,"=""0061120065""","=""9780061120060""",3,3.86,Harper Perennial Modern Classics,Paperback,237,2006,1937,2017/05/11,2017/04/16,,,read,,,,1,,,0,,,,,
29355792,The Champagne Queen (The Century Trilogy #2),Petra Durst-Benning,"Durst-Benning, Petra",Edwin Miles,"=""""","=""""",5,4.36,AmazonCrossing,Kindle Edition,480,2016,2013,2017/04/16,2017/04/10,,,read,,,,1,,,0,,,,,
33905032,"Sweeter than Ever (The Sullivans, #16.5)",Bella Andre,"Andre, Bella",,"=""""","=""""",4,4.10,"Oak Press, LLC",Kindle Edition,0,2017,2017,2017/04/10,2017/04/09,,,read,,,,1,,,0,,,,,
28386263,"Last Kiss of Summer (Destiny Bay, #1)",Marina Adair,"Adair, Marina",,"=""""","=""""",3,4.13,Forever,Kindle Edition,336,2016,2016,2017/04/09,2017/04/03,,,read,,,,1,,,0,,,,,
