Date,Time,PokeStop,Potion,SuperPotion,HyperPotion,MaxPotion,Revive,PokeBall,GreatBall,UltraBall,RazzBerry,Total
11/14,8:50,Mapunapuna Garden Relief,,,,,,3,,1,,4
11/14,8:57,Mapunapuna Garden Relief,1,1,,,,,2,,,4
11/14,9:03,Mapunapuna Garden Relief,,,,,,3,1,,,4
11/14,9:10,Mapunapuna Garden Relief,,,,,,3,,,,3
11/14,9:16,Mapunapuna Garden Relief,2,,,,1,,,,,3
11/14,9:21,Mapunapuna Garden Relief,,,1,,,2,,,,3
11/14,9:27,Mapunapuna Garden Relief,,,,,,1,2,,,3
11/14,9:33,Mapunapuna Garden Relief,,1,,,,2,,,,3
11/14,9:56,Mapunapuna Garden Relief,,,,,,1,1,1,,3
11/14,10:08,Mapunapuna Garden Relief,,,,,,1,1,,1,3
11/14,10:14,Mapunapuna Garden Relief,,1,,,,2,,,,3
11/14,10:20,Mapunapuna Garden Relief,1,,,,,2,,,,3
11/14,10:27,Mapunapuna Garden Relief,,1,,,,2,,,,3
11/14,10:32,Mapunapuna Garden Relief,,,,,,1,1,,1,3
11/14,10:38,Mapunapuna Garden Relief,,,,,,3,1,,,4
11/14,10:44,Mapunapuna Garden Relief,,,,,,3,,,,3
11/14,10:50,Mapunapuna Garden Relief,,,,,,1,2,,1,4
11/14,10:56,Mapunapuna Garden Relief,1,,,,,2,,,,3
11/14,11:02,Mapunapuna Garden Relief,,,,,,2,,,1,3
11/14,11:10,Mapunapuna Garden Relief,1,,,,,4,,,,5
11/14,11:16,Mapunapuna Garden Relief,1,1,,,,1,,,,3
11/14,11:21,Mapunapuna Garden Relief,,,,,,3,,,,3
11/14,11:28,Mapunapuna Garden Relief,,1,,,,2,,,,3
11/14,11:33,Mapunapuna Garden Relief,,,,,,3,,,,3
11/14,11:40,Mapunapuna Garden Relief,1,,1,,,,1,,,3
11/14,11:46,Mapunapuna Garden Relief,,,,,,2,1,,,3
11/14,11:52,Mapunapuna Garden Relief,,,,,,2,1,,,3
11/14,11:58,Mapunapuna Garden Relief,,,,,1,3,,,,4
11/16,13:10,Other,1,,,,,1,,,1,3
11/16,13:11,Other,1,,,,,,2,1,1,5
11/16,14:41,Other,,,,,,3,,,,3
11/16,14:41,Other,1,,,,,1,1,,,3
11/16,14:47,Other,,,1,,,,2,,,3
11/16,14:49,Other,1,,,,2,,,,,3
11/16,14:49,Other,2,,1,,,,,1,,4
11/16,14:49,Other,1,,1,,,,,1,,3
11/16,14:49,Other,1,,,,1,,1,,,3
11/16,14:52,Other,,,,,,1,1,,1,3
11/16,15:05,Other,,,1,,,1,,,1,3
11/16,15:11,Other,,,1,,1,1,,,,3
11/16,15:23,Other,,,1,,,1,1,,,3
11/16,15:23,Other,1,1,,,,1,,,,3
11/16,15:25,Other,,1,,,,2,,1,,4
11/16,15:28,Other,,,,,1,2,,1,,4
11/16,15:35,Other,,2,,,,,,,1,3
11/16,15:36,Other,,,,,,3,1,,,4
11/16,15:38,Other,,,,,,2,,,1,3
11/17,9:01,Mapunapuna Garden Relief,,,,,3,3,1,,,7
11/17,9:06,Mapunapuna Garden Relief,,,,,,4,,,,4
11/17,9:12,Mapunapuna Garden Relief,1,1,,,,1,,,,3
11/17,9:22,Mapunapuna Garden Relief,,,,,,2,,,1,3
11/17,9:28,Mapunapuna Garden Relief,,,,,2,1,,1,,4
11/17,10:00,Mapunapuna Garden Relief,,,,,,3,,,,3
11/17,10:10,Mapunapuna Garden Relief,1,,,,,2,,,,3
11/17,10:23,Mapunapuna Garden Relief,1,,,,,1,1,,,3
11/17,10:29,Mapunapuna Garden Relief,,1,,,,2,1,,,4
11/17,10:36,Mapunapuna Garden Relief,,1,,,,1,,1,,3
11/17,10:41,Mapunapuna Garden Relief,1,,,,,1,1,,,3
11/17,10:47,Mapunapuna Garden Relief,1,,,,,2,1,,,4
11/17,10:53,Mapunapuna Garden Relief,,,,,,2,1,,,3
11/17,10:59,Mapunapuna Garden Relief,,,,,,3,,,,3
11/17,11:05,Mapunapuna Garden Relief,,,,,,1,1,1,,3
