Dataset Name,Dataset Owner,User,Submission Latitude,Submission Longitude,Date Created,Record,Hawai'iSea Grant King Tides Photo Database,Location (tap arrow to input exact location) - Latitude,Location (tap arrow to input exact location) - Longitude,Share your image!,Island(s),Location Description,Orientation (check your compass!),Date,Time,Tell us something about your photo!,Photographer's Name,By uploading an image you irrevocably consent that it may be used for educational; research; outreach and promotional purposes; in any medium; in perpetuity.,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,mikec2a,,,Sat May 27 2017 08:12:06 GMT+0000 (UTC),831,,21.282774,-157.710854,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/Lf8RBcRHxEFPucJwd; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/d67yzqAuFGtRS4jkk,O'ahu,Hawaii Kai Towne Center deck near stage,W,5/26/17,17:14,Kuapa Pond nearly enters Hawaii Kai Towne Center,M. Ching,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,mikec2a,,,Sat May 27 2017 08:07:14 GMT+0000 (UTC),830,,21.289224,-157.699501,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/r2MNwBtWfFno3SMS2,O'ahu,Kuapa Pond at Peninsula townhomes north of Wailua bridge,S,5/26/17,16:51,High tide fills up to the retaining wall,M. Miyaki,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,hautree,21.288945,-157.831815,Sat May 27 2017 07:14:15 GMT+0000 (UTC),829,,21.34772883,-157.8564445,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/2gZhXJfzFyHY8rRbE; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/2rA4etFSYptPuDmAr; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/44ozE3mGN2edDdg2i; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/A3AzNzBksNWY5gDf6; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/FaoiuEwSL4ago88Ym; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/MSKXwixRiWPNuxbCM; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/P4EfKhkbWAjRmHpPk; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/RtLjMheiPMmXM8Jnh; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/TcnegTekCXqXWQms4; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/Ybwz9abdJY2RJwd2q; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/ajYYKmrxjFRo3Pf97; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/bjFdaAYu6RzRB8iT2; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/fWrN27LKX7H5NQ5ry; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/h59vgfp37v8Pze4Aw; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/hoyBDdG4CNPE4R9hd; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/mqqQzxXYDkTTsGTpS; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/rYnADTTtJYkChikBS; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/sb3oxfFY9Z8m6qqhy; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/vSbCrEwECxoNhAq7S; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/wPJHxdEjLz7nESj4h,O'ahu,Ala Wai Community Park at the McCully Bridge Honolulu; HI where Hui Lanakila; Kamehameha &  Waikiki Beach Boys keep their wa'a,S,5/25/17,17:15,I took the photos of the high water just before canoe paddling practices on Thursday & Friday; May 25 & 26;2017,Teri Skillman-Kashyap,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,lucy,21.2841703,-157.7212562,Sat May 27 2017 06:58:08 GMT+0000 (UTC),828,,21.29022585,-157.7390918,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/6fwSgwZHfbg8HGokF; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/CuWD9Smse5Eakahpp; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/GixreF8XgnyTgfJfB; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/hRJsFS8XNhYtfw5x4; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/xXAhdcjnQW6G63Pzp; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/ztkNfCkGWre2c4Cn6,O'ahu,Kuliouou Beach Park 430-5pm May 26,SE,5/26/17,16:30,king tide destroying vegetation above high water level; lots of action unlike usual high tide in area,Kenneal / Lucille Chun,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,romson ,20.7383311,-156.4561649,Sat May 27 2017 06:47:31 GMT+0000 (UTC),827,,20.73824333,-156.4562514,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/CsWmidGAJ6KhLuXRB; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/NWeSEoqk3azuvcroJ,Maui,Kihei beach front; Halama Street ,S,5/26/17,17:10,"This week we are having king times""---""King tide is a colloquial term for an especially high spring tide"," such as a perigean spring tide. ""  Two sets of pictures of our front yard. The left is low tide (-0.4 ft)"," calm seas and little wind. The right is high tide (+2.0 ft) force 4 winds and 2-3 foot waves.""",Ed Romson 
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,alohacheryl,21.29877056,-157.7082305,Sat May 27 2017 05:44:32 GMT+0000 (UTC),826,,21.26813726,-157.8227512,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/D995634C-0E35-4454-90CA-F3E1D4C11358,O'ahu,Waikiki,NE,5/26/17,17:21,sand on walkway,cheryl,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,mayamwalton,21.2687786,-157.7775106,Sat May 27 2017 02:59:43 GMT+0000 (UTC),825,,21.26843236,-157.7779121,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/0851E893-A809-49BE-ADDC-27D38144F08F; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/47D73B51-0086-4767-B312-5E89F8BDD118; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/5248A75F-776C-441C-88CB-0F22130A34AD; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/64E96E10-5832-41D1-95F0-93DAFF70134C; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/B62C0EC4-09F1-45CE-8341-310CFE161263,O'ahu,waialae beach park kahala,S,5/26/17,16:57,water all the way up to vegetation,maya w,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,mayamwalton,21.2700573,-157.7777003,Sat May 27 2017 02:51:19 GMT+0000 (UTC),824,,21.27020108,-157.7775541,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/8F116ED3-C4B4-4881-8F2A-16E9FDD88CCF; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/DC92F38C-0184-4B8C-AFCA-20BBDBA21280,O'ahu,Waialae beach park,N,5/26/17,16:50,water at walls edge but not quite overtopping. pooling of water on back side of wall,maya w,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,cruzinda808,,,Sat May 27 2017 03:53:47 GMT+0000 (UTC),823,,21.2925194,-157.8532061,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/ca6a21b5-3baf-4a3d-9b4f-8cf20ad31110,O'ahu,Alamoana Canal n bridge Ewa end,W,1/1/70,17:53,Kings Tide 2017,TakeFuku ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,cruzinda808,,,Sat May 27 2017 03:51:53 GMT+0000 (UTC),822,,21.2944417,-157.8518089,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/403ac63d-20fc-413f-b780-346cbe7712ed,O'ahu,Alamoana Beach Park pond Ewa end,N,1/1/70,17:51,Kings Tide 2017,TakeFuku ,,
